p,p_bell,p_single_ratio,p_idle_ratio,telegate_idle_depth,logical_error_rate,acceptance_ratio,discarded_runs,n_samples,logical_failures,avg_fidelity,z_error_pre_decoding_rate,x_error_pre_decoding_rate,depth_cx_layers,depth_telegate_layers,encoding_circ_gate_counts,total_single_qubit_count,total_two_qubit_count,total_telegate_count,num_meas
0.009156603566493744,0.001,0.01,0.1,25,0.02372929618907503,0.7782599863340043,12007,54149,[1000],0.9762707038109283,0.27127331403350574,0.17756632338284847,8,3,"[3, 6, 2]",3,8,3,1
0.010000000000000002,0.001,0.01,0.1,25,0.026221254949261873,0.7607620187512467,11993,50130,[1000],0.9737787450507361,0.29609041088706506,0.2011694679707371,8,3,"[3, 6, 2]",3,8,3,1
0.0004999999999999999,0.0011219401912064889,0.01,0.1,25,0.00010174968762845898,0.982804,4299,250000,[25],0.9998982503123782,0.01790794502260878,0.009096422073984234,8,3,"[3, 6, 2]",3,8,3,1
0.0005460539995742772,0.0011219401912064889,0.01,0.1,25,9.786730824124292e-5,0.98092,4770,250000,[24],0.9999021326917582,0.018876157077029727,0.009635852057252375,8,3,"[3, 6, 2]",3,8,3,1
0.0005963499409021295,0.0011219401912064889,0.01,0.1,25,0.00011839972563925645,0.979732,5067,250000,[29],0.9998816002743633,0.019833995419155443,0.010615147815933337,8,3,"[3, 6, 2]",3,8,3,1
0.0006512785407509825,0.0011219401912064889,0.01,0.1,25,0.00013915435082448952,0.977332,5667,250000,[34],0.9998608456491729,0.02255528315864005,0.012155541822021585,8,3,"[3, 6, 2]",3,8,3,1
0.0007112665040279459,0.0011219401912064889,0.01,0.1,25,0.00018446705418412272,0.975784,6054,250000,[45],0.9998155329458114,0.02396841924032368,0.012724127470833709,8,3,"[3, 6, 2]",3,8,3,1
0.0007767798385753472,0.0011219401912064889,0.01,0.1,25,0.0002258587766667351,0.97406,6485,250000,[55],0.9997741412233455,0.026388518161098905,0.014052522431883046,8,3,"[3, 6, 2]",3,8,3,1
0.0008483274752854595,0.0011219401912064889,0.01,0.1,25,0.00023469442374284078,0.971476,7131,250000,[57],0.9997653055762621,0.028538018437923324,0.015592768117791896,8,3,"[3, 6, 2]",3,8,3,1
0.000926465221656747,0.0011219401912064889,0.01,0.1,25,0.00021460644479661913,0.969216,7696,250000,[52],0.9997853935551893,0.031101426307448495,0.016570093766508188,8,3,"[3, 6, 2]",3,8,3,1
0.001011800079504272,0.0011219401912064889,0.01,0.1,25,0.0003639762753645967,0.967096,8226,250000,[88],0.9996360237246358,0.033829113138716324,0.0180002812543946,8,3,"[3, 6, 2]",3,8,3,1
0.0011049949603657587,0.0011219401912064889,0.01,0.1,25,0.00040672169860262044,0.963804,9049,250000,[98],0.9995932783013933,0.03693697058738084,0.019879560574556653,8,3,"[3, 6, 2]",3,8,3,1
0.0012067738352342851,0.0011219401912064889,0.01,0.1,25,0.00039538852124693054,0.96108,9730,250000,[95],0.9996046114787506,0.04012569192991218,0.021825446372830567,8,3,"[3, 6, 2]",3,8,3,1
0.001317927358622541,0.0011219401912064889,0.01,0.1,25,0.00048457100845075127,0.957548,10613,250000,[116],0.9995154289915464,0.043323154557265015,0.024111585006704624,8,3,"[3, 6, 2]",3,8,3,1
0.0014393190106484026,0.0011219401912064889,0.01,0.1,25,0.0006955443262857095,0.9546479999999999,11338,250000,[166],0.999304455673713,0.048650392605442,0.02664437572801703,8,3,"[3, 6, 2]",3,8,3,1
0.001571891804855704,0.0011219401912064889,0.01,0.1,25,0.0006989179402972506,0.95004,12490,250000,[166],0.9993010820596966,0.052296745400193675,0.02875668392909772,8,3,"[3, 6, 2]",3,8,3,1
0.0017166756138789728,0.0011219401912064889,0.01,0.1,25,0.000960070376965078,0.945764,13559,250000,[227],0.9990399296230253,0.05629734267745442,0.031496229503343326,8,3,"[3, 6, 2]",3,8,3,1
0.0018747951698604795,0.0011219401912064889,0.01,0.1,25,0.001129861910486053,0.941708,14573,250000,[266],0.9988701380895071,0.06201922464288293,0.0343758362464798,8,3,"[3, 6, 2]",3,8,3,1
0.0020474788017697024,0.0011219401912064889,0.01,0.1,25,0.0012224938875305623,0.935792,16052,250000,[286],0.9987775061124857,0.06680544394480825,0.037546805272966645,8,3,"[3, 6, 2]",3,8,3,1
0.0022360679774997894,0.0011219401912064889,0.01,0.1,25,0.0015724148597500462,0.931052,17237,250000,[366],0.9984275851402451,0.07296262722168043,0.04155729218131748,8,3,"[3, 6, 2]",3,8,3,1
0.00244202772486745,0.0011219401912064889,0.01,0.1,25,0.001746279430643746,0.925396,18651,250000,[404],0.9982537205693602,0.07953351862337853,0.04496669533907646,8,3,"[3, 6, 2]",3,8,3,1
0.0026669580124702875,0.0011219401912064889,0.01,0.1,25,0.0022578469971505015,0.9194599999999999,20135,250000,[519],0.99774215300285,0.08567637526374176,0.049085332695277664,8,3,"[3, 6, 2]",3,8,3,1
0.002912606178812128,0.0011219401912064889,0.01,0.1,25,0.00249081811774697,0.913756,21561,250000,[569],0.997509181882257,0.09397257035795113,0.05443028554668861,8,3,"[3, 6, 2]",3,8,3,1
0.00318088050625023,0.0011219401912064889,0.01,0.1,25,0.0030372057706909645,0.906096,23476,250000,[688],0.9969627942293078,0.10254101110699088,0.059128392576504034,8,3,"[3, 6, 2]",3,8,3,1
0.0034738650452115797,0.0011219401912064889,0.01,0.1,25,0.0033741469915713183,0.897412,25647,250000,[757],0.996625853008417,0.11319215700258076,0.06485315551831265,8,3,"[3, 6, 2]",3,8,3,1
0.003793835803838121,0.0011219401912064889,0.01,0.1,25,0.00415427061719949,0.888724,27819,250000,[923],0.9958457293827924,0.12101844892227508,0.0718108209072783,8,3,"[3, 6, 2]",3,8,3,1
0.004143278428827794,0.0011219401912064889,0.01,0.1,25,0.005013586820282967,0.8823740195623034,26589,226047,[1000],0.9949864131797062,0.13241384151049343,0.07896399241945673,8,3,"[3, 6, 2]",3,8,3,1
0.004524907514822488,0.0011219401912064889,0.01,0.1,25,0.006363509093454495,0.8711168762056809,23250,180396,[1000],0.9936364909065417,0.14219261069324068,0.0852328407977295,8,3,"[3, 6, 2]",3,8,3,1
0.004941687692345045,0.0011219401912064889,0.01,0.1,25,0.006990660477601924,0.8625507256863418,22795,165843,[1000],0.9930093395223926,0.15395531569822718,0.09365387841843298,8,3,"[3, 6, 2]",3,8,3,1
0.005396856658103985,0.0011219401912064889,0.01,0.1,25,0.007947483032123727,0.8501584427342689,22177,148003,[1000],0.9920525169678784,0.1682800057221878,0.1020933670306614,8,3,"[3, 6, 2]",3,8,3,1
0.005893950326573491,0.0011219401912064889,0.01,0.1,25,0.009469876323415217,0.8387650222006878,20299,125897,[1000],0.9905301236765796,0.18453947991439232,0.11271993787761132,8,3,"[3, 6, 2]",3,8,3,1
0.006436830298235144,0.0011219401912064889,0.01,0.1,25,0.011566443434308385,0.8277199096235591,17995,104452,[1000],0.988433556565691,0.19923198815596194,0.12282406282892074,8,3,"[3, 6, 2]",3,8,3,1
0.007029713857864377,0.0011219401912064889,0.01,0.1,25,0.013720244220347122,0.8162271123803124,16410,89295,[1000],0.9862797557796477,0.21459833985044935,0.1334705357755368,8,3,"[3, 6, 2]",3,8,3,1
0.00767720673589913,0.0011219401912064889,0.01,0.1,25,0.01642251855744597,0.8022132929319544,15013,75905,[1000],0.9835774814425512,0.2382743217499836,0.14852525783354134,8,3,"[3, 6, 2]",3,8,3,1
0.008384338887392595,0.0011219401912064889,0.01,0.1,25,0.019619383951343928,0.7897427951657887,13570,64540,[1000],0.9803806160486616,0.25075534628212676,0.16250735726898174,8,3,"[3, 6, 2]",3,8,3,1
0.009156603566493744,0.0011219401912064889,0.01,0.1,25,0.023232041631818603,0.777528901734104,12316,55360,[1000],0.9767679583681791,0.27430071554688223,0.1775857262336214,8,3,"[3, 6, 2]",3,8,3,1
0.010000000000000002,0.0011219401912064889,0.01,0.1,25,0.02725538293813028,0.7576352035021785,11737,48427,[1000],0.9727446170618721,0.29002452984464433,0.195393840283456,8,3,"[3, 6, 2]",3,8,3,1
0.0004999999999999999,0.0012587497926444527,0.01,0.1,25,5.295768680824022e-5,0.981916,4521,250000,[13],0.9999470423131951,0.017203100876246033,0.008839860028760098,8,3,"[3, 6, 2]",3,8,3,1
0.0005460539995742772,0.0012587497926444527,0.01,0.1,25,9.788926277148975e-5,0.9807,4825,250000,[24],0.9999021107372242,0.01859895992658305,0.009450392576730906,8,3,"[3, 6, 2]",3,8,3,1
0.0005963499409021295,0.0012587497926444527,0.01,0.1,25,0.00012252049155221211,0.979428,5143,250000,[30],0.999877479508442,0.020971424137353638,0.010642946699502158,8,3,"[3, 6, 2]",3,8,3,1
