fitness_evolution,fidelity_evolution,single_count,two_qubit_count,telegate_count
9771.88037602287,1.0,3,7,2
9772.230283953624,1.0,3,7,2
9772.579655167905,1.0,3,7,2
9772.92849048897,1.0,3,7,2
9773.276790738817,1.0,3,7,2
9773.62455673818,1.0,3,7,2
9773.971789306534,1.0,3,7,2
9774.318489262096,1.0,3,7,2
9774.66465742183,1.0,3,7,2
9775.01029460145,1.0,3,7,2
9775.355401615412,1.0,3,7,2
9775.699979276927,1.0,3,7,2
9776.044028397959,1.0,3,7,2
9776.387549789224,1.0,3,7,2
9776.730544260196,1.0,3,7,2
9777.073012619105,1.0,3,7,2
9777.414955672944,1.0,3,7,2
9777.75637422747,1.0,3,7,2
9778.0972690872,1.0,3,7,2
9778.43764105542,1.0,3,7,2
9778.777490934179,1.0,3,7,2
9779.1168195243,1.0,3,7,2
9779.45562762538,1.0,3,7,2
9779.793916035784,1.0,3,7,2
9780.131685552655,1.0,3,7,2
9780.468936971913,1.0,3,7,2
9780.805671088256,1.0,3,7,2
9781.141888695163,1.0,3,7,2
9781.477590584902,1.0,3,7,2
9781.812777548515,1.0,3,7,2
9782.147450375842,1.0,3,7,2
9782.481609855502,1.0,3,7,2
9782.815256774911,1.0,3,7,2
9783.148391920271,1.0,3,7,2
9783.481016076585,1.0,3,7,2
9783.813130027645,1.0,3,7,2
9784.144734556048,1.0,3,7,2
9784.475830443183,1.0,3,7,2
9784.806418469248,1.0,3,7,2
9785.136499413238,1.0,3,7,2
9785.466074052956,1.0,3,7,2
9785.795143165013,1.0,3,7,2
9786.123707524825,1.0,3,7,2
9786.451767906621,1.0,3,7,2
9786.779325083446,1.0,3,7,2
9787.10637982715,1.0,3,7,2
9787.43293290841,1.0,3,7,2
9787.758985096712,1.0,3,7,2
9788.084537160366,1.0,3,7,2
9788.409589866505,1.0,3,7,2
9788.73414398108,1.0,3,7,2
9789.058200268873,1.0,3,7,2
9789.381759493488,1.0,3,7,2
9789.70482241736,1.0,3,7,2
9790.027389801755,1.0,3,7,2
9790.349462406772,1.0,3,7,2
9790.67104099134,1.0,3,7,2
9798.64809238234,1.0,3,6,2
9798.956941871566,1.0,3,6,2
9799.265317623007,1.0,3,6,2
9799.573220363316,1.0,3,6,2
9799.880650818039,1.0,3,6,2
9800.187609711602,1.0,3,6,2
9800.494097767325,1.0,3,6,2
9800.800115707414,1.0,3,6,2
9801.105664252971,1.0,3,6,2
9801.41074412399,1.0,3,6,2
9801.715356039364,1.0,3,6,2
9802.019500716875,1.0,3,6,2
9802.323178873212,1.0,3,6,2
9802.626391223963,1.0,3,6,2
9802.929138483616,1.0,3,6,2
9803.231421365566,1.0,3,6,2
9803.533240582112,1.0,3,6,2
9803.83459684446,1.0,3,6,2
9804.135490862725,1.0,3,6,2
9804.435923345934,1.0,3,6,2
9804.735895002028,1.0,3,6,2
9805.035406537858,1.0,3,6,2
9805.334458659194,1.0,3,6,2
9805.633052070722,1.0,3,6,2
9805.931187476046,1.0,3,6,2
9806.228865577694,1.0,3,6,2
9806.526087077114,1.0,3,6,2
9806.822852674679,1.0,3,6,2
9807.119163069687,1.0,3,6,2
9807.415018960362,1.0,3,6,2
9807.710421043861,1.0,3,6,2
9808.00537001627,1.0,3,6,2
9808.299866572603,1.0,3,6,2
9808.593911406815,1.0,3,6,2
9808.887505211793,1.0,3,6,2
9809.18064867936,1.0,3,6,2
9809.473342500278,1.0,3,6,2
9809.765587364252,1.0,3,6,2
9810.05738395993,1.0,3,6,2
9810.348732974897,1.0,3,6,2
9810.639635095691,1.0,3,6,2
9810.930091007793,1.0,3,6,2
9811.220101395631,1.0,3,6,2
9811.50966694259,1.0,3,6,2
9811.798788330996,1.0,3,6,2
9812.08746624214,1.0,3,6,2
9812.375701356259,1.0,3,6,2
9812.663494352553,1.0,3,6,2
9812.950845909174,1.0,3,6,2
9813.23775670324,1.0,3,6,2
9813.524227410826,1.0,3,6,2
9813.810258706972,1.0,3,6,2
9814.095851265682,1.0,3,6,2
9814.381005759924,1.0,3,6,2
9814.66572286164,1.0,3,6,2
9814.950003241735,1.0,3,6,2
9815.233847570087,1.0,3,6,2
9815.517256515548,1.0,3,6,2
9815.800230745941,1.0,3,6,2
9816.082770928067,1.0,3,6,2
9816.364877727703,1.0,3,6,2
9816.646551809608,1.0,3,6,2
9816.927793837516,1.0,3,6,2
9817.208604474146,1.0,3,6,2
9817.488984381202,1.0,3,6,2
9817.768934219368,1.0,3,6,2
9818.04845464832,1.0,3,6,2
9818.327546326718,1.0,3,6,2
9818.606209912215,1.0,3,6,2
9818.884446061455,1.0,3,6,2
9819.162255430072,1.0,3,6,2
9819.439638672695,1.0,3,6,2
9819.71659644295,1.0,3,6,2
9819.99312939346,1.0,3,6,2
9820.269238175852,1.0,3,6,2
9820.54492344074,1.0,3,6,2
9820.820185837756,1.0,3,6,2
9821.095026015524,1.0,3,6,2
9821.36944462168,1.0,3,6,2
9821.643442302862,1.0,3,6,2
9821.917019704719,1.0,3,6,2
9822.190177471908,1.0,3,6,2
9822.4629162481,1.0,3,6,2
9822.735236675973,1.0,3,6,2
9823.007139397225,1.0,3,6,2
9823.278625052566,1.0,3,6,2
9823.549694281726,1.0,3,6,2
9823.820347723453,1.0,3,6,2
9824.090586015514,1.0,3,6,2
9824.360409794697,1.0,3,6,2
9824.629819696818,1.0,3,6,2
9824.89881635671,1.0,3,6,2
9825.16740040824,1.0,3,6,2
9825.435572484297,1.0,3,6,2
9825.703333216805,1.0,3,6,2
9825.970683236712,1.0,3,6,2
9826.237623174002,1.0,3,6,2
9826.504153657694,1.0,3,6,2
9826.770275315837,1.0,3,6,2
9827.035988775524,1.0,3,6,2
9827.30129466288,1.0,3,6,2
9827.566193603072,1.0,3,6,2
9827.830686220306,1.0,3,6,2
9828.094773137836,1.0,3,6,2
9828.358454977953,1.0,3,6,2
9828.621732361999,1.0,3,6,2
9828.884605910358,1.0,3,6,2
9829.147076242469,1.0,3,6,2
9829.409143976813,1.0,3,6,2
9829.67080973093,1.0,3,6,2
9829.932074121405,1.0,3,6,2
9830.192937763886,1.0,3,6,2
9830.453401273067,1.0,3,6,2
9830.71346526271,1.0,3,6,2
9830.973130345625,1.0,3,6,2
9831.232397133686,1.0,3,6,2
9831.491266237834,1.0,3,6,2
9831.749738268063,1.0,3,6,2
9832.007813833441,1.0,3,6,2
9832.265493542092,1.0,3,6,2
9832.522778001217,1.0,3,6,2
9832.77966781708,1.0,3,6,2
9833.036163595016,1.0,3,6,2
9833.292265939428,1.0,3,6,2
9833.5479754538,1.0,3,6,2
9833.803292740684,1.0,3,6,2
9834.05821840171,1.0,3,6,2
9834.312753037582,1.0,3,6,2
9834.56689724809,1.0,3,6,2
9834.820651632097,1.0,3,6,2
9835.07401678755,1.0,3,6,2
9835.326993311477,1.0,3,6,2
9835.579581799995,1.0,3,6,2
9835.8317828483,1.0,3,6,2
9836.083597050681,1.0,3,6,2
9836.335025000511,1.0,3,6,2
9836.586067290256,1.0,3,6,2
9836.836724511471,1.0,3,6,2
9837.086997254806,1.0,3,6,2
9837.336886110003,1.0,3,6,2
9837.5863916659,1.0,3,6,2
9837.83551451043,1.0,3,6,2
9838.08425523063,1.0,3,6,2
9838.332614412628,1.0,3,6,2
9838.58059264166,1.0,3,6,2
9838.828190502061,1.0,3,6,2
9839.075408577271,1.0,3,6,2
9839.322247449834,1.0,3,6,2
9839.568707701403,1.0,3,6,2
9839.814789912734,1.0,3,6,2
9840.060494663698,1.0,3,6,2
9840.30582253327,1.0,3,6,2
9840.550774099544,1.0,3,6,2
9840.79534993972,1.0,3,6,2
9841.039550630121,1.0,3,6,2
9841.283376746178,1.0,3,6,2
9841.526828862445,1.0,3,6,2
9841.769907552589,1.0,3,6,2
9842.012613389405,1.0,3,6,2
9842.2549469448,1.0,3,6,2
9842.496908789813,1.0,3,6,2
9842.738499494602,1.0,3,6,2
9842.97971962845,1.0,3,6,2
9843.22056975977,1.0,3,6,2
9843.461050456097,1.0,3,6,2
9843.701162284104,1.0,3,6,2
9843.940905809588,1.0,3,6,2
9844.180281597482,1.0,3,6,2
9844.41929021185,1.0,3,6,2
9844.657932215892,1.0,3,6,2
9844.896208171944,1.0,3,6,2
9845.13411864148,1.0,3,6,2
9845.371664185112,1.0,3,6,2
9845.60884536259,1.0,3,6,2
9845.84566273281,1.0,3,6,2
9846.082116853808,1.0,3,6,2
9846.318208282764,1.0,3,6,2
9846.553937576005,1.0,3,6,2
9846.789305289001,1.0,3,6,2
9847.024311976375,1.0,3,6,2
9847.258958191895,1.0,3,6,2
9847.493244488482,1.0,3,6,2
9847.727171418206,1.0,3,6,2
9847.960739532296,1.0,3,6,2
9848.19394938113,1.0,3,6,2
9848.426801514242,1.0,3,6,2
9848.659296480328,1.0,3,6,2
9848.891434827236,1.0,3,6,2
9849.123217101978,1.0,3,6,2
9849.354643850727,1.0,3,6,2
9849.585715618814,1.0,3,6,2
9849.81643295074,1.0,3,6,2
9850.046796390163,1.0,3,6,2
9850.276806479915,1.0,3,6,2
9850.506463761989,1.0,3,6,2
9850.735768777553,1.0,3,6,2
9850.964722066936,1.0,3,6,2
9851.193324169648,1.0,3,6,2
9851.421575624365,1.0,3,6,2
9851.649476968938,1.0,3,6,2
9851.877028740395,1.0,3,6,2
9852.104231474937,1.0,3,6,2
9852.331085707949,1.0,3,6,2
9852.557591973984,1.0,3,6,2
9852.783750806786,1.0,3,6,2
9853.009562739273,1.0,3,6,2
9853.23502830355,1.0,3,6,2
9853.460148030903,1.0,3,6,2
9853.684922451803,1.0,3,6,2
9853.90935209591,1.0,3,6,2
9854.13343749207,1.0,3,6,2
9854.357179168315,1.0,3,6,2
9854.580577651874,1.0,3,6,2
9854.80363346916,1.0,3,6,2
9855.026347145784,1.0,3,6,2
9855.248719206546,1.0,3,6,2
9855.470750175446,1.0,3,6,2
9855.692440575674,1.0,3,6,2
9855.913790929624,1.0,3,6,2
9856.134801758886,1.0,3,6,2
9856.355473584248,1.0,3,6,2
9856.575806925703,1.0,3,6,2
9856.795802302444,1.0,3,6,2
9857.015460232866,1.0,3,6,2
9857.234781234572,1.0,3,6,2
9857.453765824373,1.0,3,6,2
9857.67241451828,1.0,3,6,2
9857.890727831518,1.0,3,6,2
9858.108706278521,1.0,3,6,2
9858.326350372934,1.0,3,6,2
9858.54366062761,1.0,3,6,2
9858.760637554624,1.0,3,6,2
9858.977281665257,1.0,3,6,2
9859.193593470009,1.0,3,6,2
9859.409573478597,1.0,3,6,2
9859.625222199957,1.0,3,6,2
9859.840540142244,1.0,3,6,2
9860.055527812834,1.0,3,6,2
9860.27018571832,1.0,3,6,2
9860.484514364525,1.0,3,6,2
9860.698514256494,1.0,3,6,2
9860.912185898493,1.0,3,6,2
9861.12552979402,1.0,3,6,2
9861.338546445797,1.0,3,6,2
9861.55123635578,1.0,3,6,2
9861.763600025144,1.0,3,6,2
9861.97563795431,1.0,3,6,2
9862.18735064292,1.0,3,6,2
9862.398738589856,1.0,3,6,2
9862.609802293231,1.0,3,6,2
9862.820542250396,1.0,3,6,2
9863.03095895794,1.0,3,6,2
9863.241052911686,1.0,3,6,2
9863.4508246067,1.0,3,6,2
9863.66027453729,1.0,3,6,2
9863.869403197,1.0,3,6,2
9864.078211078626,1.0,3,6,2
9864.286698674197,1.0,3,6,2
9864.494866474997,1.0,3,6,2
9864.702714971552,1.0,3,6,2
9864.910244653636,1.0,3,6,2
9865.117456010272,1.0,3,6,2
9865.32434952973,1.0,3,6,2
9865.530925699537,1.0,3,6,2
